month,temp_extremes_min
1982-01,21.9
1982-02,22.6
1982-03,22.3
1982-04,22.2
1982-05,23.7
1982-06,23.1
1982-07,22.1
1982-08,21.9
1982-09,23.5
1982-10,22.6
1982-11,23.1
1982-12,22.8
1983-01,23
1983-02,23.1
1983-03,24.3
1983-04,23.5
1983-05,23.5
1983-06,21.3
1983-07,21.4
1983-08,22.1
1983-09,22.4
1983-10,22.4
1983-11,21.3
1983-12,21.9
1984-01,21.2
1984-02,21.1
1984-03,22.1
1984-04,22.7
1984-05,21.9
1984-06,21.4
1984-07,22.5
1984-08,22.4
1984-09,21
1984-10,21.2
1984-11,22.8
1984-12,22
1985-01,22.2
1985-02,22.2
1985-03,23.1
1985-04,22.4
1985-05,23.5
1985-06,23.4
1985-07,21
1985-08,21.3
1985-09,22.1
1985-10,21.7
1985-11,22.5
1985-12,22.9
1986-01,21.5
1986-02,22.5
1986-03,22.6
1986-04,22.4
1986-05,22
1986-06,22.2
1986-07,21.9
1986-08,21.9
1986-09,21.2
1986-10,22.5
1986-11,22.8
1986-12,22.5
1987-01,22.1
1987-02,22.8
1987-03,23
1987-04,22.5
1987-05,22.4
1987-06,22
1987-07,22.5
1987-08,22.5
1987-09,21.2
1987-10,23.5
1987-11,22.9
1987-12,22.7
1988-01,23.2
1988-02,23.6
1988-03,22.5
1988-04,24.2
1988-05,23.3
1988-06,22.2
1988-07,21
1988-08,22.6
1988-09,21.7
1988-10,22.4
1988-11,22.1
1988-12,23
1989-01,22.6
1989-02,22.3
1989-03,22.6
1989-04,21.9
1989-05,21.2
1989-06,22.3
1989-07,22.2
1989-08,21.5
1989-09,21.3
1989-10,21.1
1989-11,22.6
1989-12,22.5
1990-01,22.4
1990-02,24
1990-03,21.4
1990-04,23.1
1990-05,23
1990-06,21.9
1990-07,22.6
1990-08,21.1
1990-09,21.2
1990-10,23.7
1990-11,22.4
1990-12,22.9
1991-01,22.7
1991-02,22.7
1991-03,22.5
1991-04,22.8
1991-05,22.6
1991-06,23.5
1991-07,23.1
1991-08,22.4
1991-09,23
1991-10,22.9
1991-11,22
1991-12,22.2
1992-01,22.1
1992-02,22.3
1992-03,22.9
1992-04,22.5
1992-05,23.5
1992-06,21.1
1992-07,22.1
1992-08,21.7
1992-09,22.9
1992-10,22.9
1992-11,22.5
1992-12,22.2
1993-01,21.9
1993-02,22.7
1993-03,22.3
1993-04,21.7
1993-05,22.5
1993-06,22.7
1993-07,22.5
1993-08,22
1993-09,22.7
1993-10,22.5
1993-11,22.7
1993-12,22.4
1994-01,23.1
1994-02,22.6
1994-03,22.9
1994-04,23.2
1994-05,22.6
1994-06,22.2
1994-07,20.5
1994-08,22.5
1994-09,22
1994-10,22.7
1994-11,22.4
1994-12,22
1995-01,21.8
1995-02,22.6
1995-03,23.1
1995-04,23.5
1995-05,23.2
1995-06,24.3
1995-07,22.8
1995-08,22.8
1995-09,22.6
1995-10,22.9
1995-11,22.5
1995-12,22.5
1996-01,22.1
1996-02,22.3
1996-03,22.2
1996-04,23.2
1996-05,22.9
1996-06,22.1
1996-07,22.1
1996-08,22.3
1996-09,22.3
1996-10,22.9
1996-11,22.4
1996-12,22.6
1997-01,23.1
1997-02,22.3
1997-03,23.7
1997-04,22.3
1997-05,24.7
1997-06,23.6
1997-07,23.6
1997-08,22
1997-09,24.1
1997-10,22.8
1997-11,23.5
1997-12,23
1998-01,23.5
1998-02,24.3
1998-03,24.4
1998-04,24.2
1998-05,24.5
1998-06,22.9
1998-07,22.7
1998-08,23.2
1998-09,22.7
1998-10,22.5
1998-11,23.4
1998-12,22.8
1999-01,22.6
1999-02,22
1999-03,22
1999-04,23
1999-05,23.7
1999-06,21.8
