1hr_pm2.5,north,south,east,west,central
1/4/2014 1:00,7,6,7,23,8
1/4/2014 2:00,10,10,10,36,10
1/4/2014 3:00,15,20,15,31,15
1/4/2014 4:00,21,14,27,36,12
1/4/2014 5:00,28,12,28,35,22
1/4/2014 6:00,28,31,21,33,24
1/4/2014 7:00,37,24,27,35,28
1/4/2014 8:00,19,16,25,19,37
1/4/2014 9:00,19,17,18,25,22
1/4/2014 10:00,21,16,20,25,14
1/4/2014 11:00,20,15,16,25,20
1/4/2014 12:00,18,22,11,22,22
1/4/2014 13:00,13,12,12,23,11
1/4/2014 14:00,24,17,17,28,23
1/4/2014 15:00,22,19,14,19,18
1/4/2014 16:00,22,17,66,19,19
1/4/2014 17:00,20,22,23,19,22
1/4/2014 18:00,24,27,21,25,25
1/4/2014 19:00,21,21,23,20,23
1/4/2014 20:00,16,15,18,20,18
1/4/2014 21:00,10,11,11,17,9
1/4/2014 22:00,8,9,12,14,11
1/4/2014 23:00,6,5,10,11,12
2/4/2014 0:00,7,7,10,13,13
2/4/2014 1:00,10,11,11,14,15
2/4/2014 2:00,7,11,11,14,12
2/4/2014 3:00,10,14,15,18,13
2/4/2014 4:00,12,11,14,19,12
2/4/2014 5:00,18,11,15,20,15
2/4/2014 6:00,17,9,11,22,16
2/4/2014 7:00,13,13,14,22,12
2/4/2014 8:00,23,14,18,26,22
2/4/2014 9:00,23,14,18,26,22
2/4/2014 10:00,10,10,14,28,15
2/4/2014 11:00,25,14,13,28,13
2/4/2014 12:00,31,10,12,21,17
2/4/2014 13:00,23,14,9,24,16
2/4/2014 14:00,26,25,16,23,27
2/4/2014 15:00,25,23,15,22,26
2/4/2014 16:00,26,24,17,24,17
2/4/2014 17:00,22,23,16,15,21
2/4/2014 18:00,27,25,25,29,25
2/4/2014 19:00,22,27,17,29,18
2/4/2014 20:00,16,19,19,22,18
2/4/2014 21:00,10,5,12,27,15
2/4/2014 22:00,5,8,17,25,13
2/4/2014 23:00,6,5,12,20,9
3/4/2014 0:00,9,4,7,13,12
3/4/2014 1:00,12,6,15,14,20
3/4/2014 2:00,7,3,16,9,11
3/4/2014 3:00,7,6,10,14,9
3/4/2014 4:00,4,25,10,14,11
3/4/2014 5:00,7,15,10,12,8
3/4/2014 6:00,5,14,10,13,8
3/4/2014 7:00,10,16,11,15,7
3/4/2014 8:00,13,16,10,20,10
3/4/2014 9:00,14,10,7,18,10
3/4/2014 10:00,15,12,11,18,7
3/4/2014 11:00,30,10,11,19,15
3/4/2014 12:00,28,10,12,13,10
3/4/2014 13:00,26,11,9,16,9
3/4/2014 14:00,22,19,9,11,14
3/4/2014 15:00,21,5,8,15,14
3/4/2014 16:00,27,21,6,8,13
3/4/2014 17:00,27,35,26,20,17
3/4/2014 18:00,28,13,8,19,16
3/4/2014 19:00,9,14,18,13,11
3/4/2014 20:00,6,15,21,15,10
3/4/2014 21:00,7,4,11,11,10
3/4/2014 22:00,7,8,11,8,9
3/4/2014 23:00,8,8,9,12,7
4/4/2014 0:00,6,10,6,17,8
4/4/2014 1:00,13,9,9,19,9
4/4/2014 2:00,10,23,13,19,25
4/4/2014 3:00,13,23,22,20,19
4/4/2014 4:00,14,22,18,21,19
4/4/2014 5:00,17,26,18,21,21
4/4/2014 6:00,24,32,20,23,28
4/4/2014 7:00,21,28,26,21,29
4/4/2014 8:00,17,10,22,19,24
4/4/2014 9:00,29,14,24,19,20
4/4/2014 10:00,23,25,19,21,16
4/4/2014 11:00,27,19,26,21,20
4/4/2014 12:00,28,23,23,16,21
4/4/2014 13:00,26,31,25,25,30
4/4/2014 14:00,25,30,27,21,27
4/4/2014 15:00,30,34,11,16,30
4/4/2014 16:00,30,27,26,17,26
4/4/2014 17:00,36,29,35,16,35
4/4/2014 18:00,28,38,40,23,38
4/4/2014 19:00,37,23,37,41,31
4/4/2014 20:00,19,9,36,14,18
4/4/2014 21:00,17,11,26,7,23
