,year,month,rainy_days,total_rainfall,max_daily_rainfall,mean_rh,min_daily_temp,max_daily_temp,mean_sunshine_hrs,extr_max_temp,extr_min_temp
0,1982,1,10,107.1,36.5,81.2,23.3,29.8,5.6,31.9,21.9
1,1982,2,5,27.8,9.4,79.5,23.9,32.3,7.6,34.3,22.6
2,1982,3,11,160.8,61.7,82.3,24.3,31.7,5.1,34.3,22.3
3,1982,4,14,157.0,45.1,85.9,24.3,31.4,4.7,33.2,22.2
4,1982,5,10,102.2,33.0,83.2,25.2,31.7,5.8,32.9,23.7
5,1982,6,8,59.5,20.6,80.3,26.0,31.9,7.3,33.3,23.1
6,1982,7,8,76.3,17.2,77.6,25.5,31.6,7.6,33.0,22.1
7,1982,8,11,169.5,57.7,80.4,25.0,31.1,5.4,33.2,21.9
8,1982,9,9,54.1,18.0,80.6,25.3,31.4,5.2,33.2,23.5
9,1982,10,10,39.3,10.0,81.5,24.3,32.1,5.6,33.8,22.6
10,1982,11,13,134.0,39.6,83.4,24.5,32.4,5.8,34.3,23.1
11,1982,12,21,494.1,109.0,87.7,23.9,29.9,3.3,33.0,22.8
12,1983,1,18,246.0,43.2,85.6,24.0,30.3,4.3,32.1,23.0
13,1983,2,2,5.6,5.1,78.0,24.8,33.1,9.3,34.6,23.1
14,1983,3,2,18.6,18.3,76.0,25.4,34.4,8.9,35.8,24.3
15,1983,4,4,33.6,21.3,77.2,26.3,34.3,6.6,35.8,23.5
16,1983,5,11,160.8,32.3,83.2,25.2,32.5,5.9,34.0,23.5
17,1983,6,11,94.0,27.7,82.4,25.3,31.9,5.9,33.6,21.3
18,1983,7,18,190.0,55.5,83.7,24.9,31.0,5.4,33.0,21.4
19,1983,8,10,262.2,181.8,81.2,25.6,31.5,6.3,32.7,22.1
20,1983,9,18,170.8,50.3,84.4,24.6,31.1,3.8,32.8,22.4
21,1983,10,17,212.7,40.0,82.5,24.7,31.5,5.2,33.7,22.4
22,1983,11,18,228.8,54.8,85.2,24.0,30.5,3.2,32.6,21.3
23,1983,12,16,370.6,164.4,88.0,23.3,28.9,2.7,31.3,21.9
24,1984,1,18,251.2,62.3,85.8,22.9,29.5,4.1,31.7,21.2
25,1984,2,19,470.4,154.4,86.0,23.4,30.0,4.1,31.5,21.1
26,1984,3,19,361.3,119.4,85.4,23.8,30.8,5.3,32.8,22.1
27,1984,4,17,153.1,38.7,83.8,24.5,31.3,6.2,32.7,22.7
28,1984,5,12,186.5,46.0,84.1,24.5,31.3,6.4,32.9,21.9
29,1984,6,14,255.0,121.1,83.1,24.7,31.1,5.4,32.7,21.4
30,1984,7,12,127.2,49.2,83.7,24.7,30.7,5.7,33.0,22.5
31,1984,8,13,102.7,22.5,84.1,24.3,31.2,6.0,32.8,22.4
32,1984,9,17,186.7,46.5,83.9,23.7,30.9,4.9,32.4,21.0
